name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
69361,2022-01-01,-11.2,-20.5,-16.5,-16.3,-27.5,-21.3,-20.5,71.4,0.29,100,4.17,snow,3,1.9,,14.7,164.1,1022.9,50.1,12,87.1,7.5,5,,2022-01-01T07:22:28,2022-01-01T16:34:21,0.99,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"72576394053,KBFF,K1CW,72097999999,72566024028,SBFN1,KTOR"
69361,2022-01-02,5.6,-22,-6.6,1,-30.1,-11.5,-14.6,56.4,0.01,100,4.17,"rain,snow",0,2.4,51.7,29.3,299,1025.7,0,16,123.3,10.8,5,,2022-01-02T07:22:32,2022-01-02T16:35:14,1,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"72576394053,KBFF,K1CW,72097999999,72566024028,SBFN1,KTOR"
69361,2022-01-03,10.6,-8,-0.3,10.6,-14.3,-2.5,-10.1,51.6,0,0,0,,1.5,0.9,51.8,16.8,214.8,1017.5,0.3,16,89.7,7.7,5,,2022-01-03T07:22:33,2022-01-03T16:36:08,0,Clear,Clear conditions throughout the day.,snow,"72576394053,KBFF,K1CW,72097999999,72566024028,SBFN1,KTOR"
69361,2022-01-04,9.9,-5.1,0.6,5.6,-12.5,-4.5,-9.8,48.5,0,0,0,,2,0.7,93.8,59.3,283.8,1010.1,46.8,15.7,89.6,7.8,5,,2022-01-04T07:22:33,2022-01-04T16:37:04,0.02,Partially cloudy,Becoming cloudy in the afternoon.,snow,"72576394053,KBFF,K1CW,72097999999,72566024028,SBFN1,KTOR"
69361,2022-01-05,-5.7,-18.3,-13.6,-7.8,-27.8,-20.7,-17.1,74.9,9.28,100,62.5,snow,5.7,4,42.5,24,237.4,1022.4,62.6,7.3,23.9,2,1,,2022-01-05T07:22:30,2022-01-05T16:38:01,0.05,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"72576394053,KBFF,K1CW,72097999999,72566024028,SBFN1,KTOR"
69361,2022-01-06,-9.4,-18.9,-14.9,-16.7,-26.2,-20.7,-18.8,72.4,1.35,100,16.67,snow,4.5,10.1,61.2,29.7,139.5,1025.1,91,11.7,53,4.5,2,,2022-01-06T07:22:24,2022-01-06T16:39:00,0.09,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"72576394053,KBFF,K1CW,72097999999,72566024028,SBFN1,KTOR"
69361,2022-01-07,-1,-16.5,-9.4,-2.5,-24,-14.7,-13.1,74.6,0.01,100,4.17,snow,1.3,12,,18.1,127.8,1009.6,0.1,15.9,108.6,9.4,5,,2022-01-07T07:22:16,2022-01-07T16:40:01,0.14,Snow,Clear conditions throughout the day with morning snow.,snow,"72576394053,KBFF,K1CW,72097999999,72566024028,SBFN1,KTOR"
69361,2022-01-08,6.1,-5.3,1.9,3.1,-11.2,-2.2,-4.2,64.8,0,0,0,,0,9.1,48,33.5,201.6,1012.4,49.2,16,72.6,6.3,4,,2022-01-08T07:22:06,2022-01-08T16:41:02,0.19,Partially cloudy,Partly cloudy throughout the day.,wind,"72576394053,KBFF,K1CW,72097999999,72566024028,SBFN1,KTOR"
69361,2022-01-09,4.9,-10,-2.9,1.2,-15.8,-7.2,-9.2,63.8,0,0,0,,0,4.9,53.6,31.3,215.8,1033,8.2,16,126.1,11.1,5,,2022-01-09T07:21:54,2022-01-09T16:42:05,0.24,Clear,Clear conditions throughout the day.,wind,"72576394053,KBFF,72097999999,K1CW,72566024028,SBFN1,KTOR"
69361,2022-01-10,9.9,-9.8,-1,9.9,-14.8,-3.7,-8.4,59.7,0,0,0,,0,3.1,37.1,16.6,277.2,1033.4,0,16,146.2,12.8,5,10,2022-01-10T07:21:39,2022-01-10T16:43:09,0.28,Clear,Clear conditions throughout the day.,clear-day,"72576394053,KBFF,K1CW,72097999999,72566024028,SBFN1,KTOR"
69361,2022-01-11,8.8,-3.7,3,6.5,-8.1,-1,-8.1,44.9,0,0,0,,0.6,2.3,46.4,29.2,288.8,1025,0.2,16,99.3,8.5,5,10,2022-01-11T07:21:22,2022-01-11T16:44:14,0.33,Clear,Clear conditions throughout the day.,snow,"72576394053,KBFF,K1CW,72097999999,72566024028,SBFN1,KTOR"
69361,2022-01-12,9.9,-2.7,3.6,6.9,-6.4,0.1,-4.6,56.4,0,0,0,,6.5,4.4,48.2,35.1,296.3,1023.2,0,16,103.8,9.1,4,10,2022-01-12T07:21:02,2022-01-12T16:45:21,0.38,Clear,Clear conditions throughout the day.,snow,"72576394053,KBFF,K1CW,72097999999,72566024028,SBFN1,KTOR"
