"STATION","NAME","DATE","TMAX","TMIN"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-01","32","19"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-02","35","22"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-03","29","20"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-04","28","21"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-05","35","21"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-06","30","20"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-07","25","9"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-08","32","18"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-09","29","14"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-10","24","14"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-11","22","5"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-12","5","3"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-13","3","-15"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-14","-1","-15"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-15","1","-13"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-16","7","-7"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-17","14","3"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-18","9","0"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-19","5","-6"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-20","13","-12"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-21","21","-3"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-22","35","19"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-23","33","30"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-24","35","32"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-25","35","32"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-26","37","33"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-27","38","25"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-28","49","24"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-29","51","29"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-30","37","30"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-01-31","58","30"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-01","51","30"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-02","40","28"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-03","36","30"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-04","48","27"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-05","47","23"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-06","53","26"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-07","52","36"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-08","51","36"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-09","37","31"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-10","37","27"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-11","41","24"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-12","47","24"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-13","40","18"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-14","44","26"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-15","26","14"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-16","22","4"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-17","28","5"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-18","38","21"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-19","54","18"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-20","53","26"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-21","54","28"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-22","52","31"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-23","42","25"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-24","51","17"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-25","50","29"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-26","69","26"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-27","42","5"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-28","23","-1"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-02-29","59","10"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-01","59","33"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-02","67","26"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-03","71","27"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-04","41","24"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-05","51","16"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-06","58","18"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-07","48","29"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-08","40","24"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-09","42","21"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-10","57","14"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-11","77","32"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-12","68","40"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-13","72","32"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-14","54","39"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-15","54","31"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-16","50","33"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-17","33","21"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-18","39","19"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-19","57","30"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-20","34","16"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-21","34","26"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-22","32","18"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-23","34","12"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-24","36","26"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-25","44","33"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-26","33","23"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-27","31","14"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-28","43","15"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-29","57","28"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-30","45","34"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-03-31","42","29"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-01","38","29"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-02","47","35"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-03","51","33"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-04","54","30"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-05","57","27"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-06","60","31"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-07","48","42"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-08","51","39"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-09","62","36"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-10","70","38"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-11","56","43"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-12","62","38"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-13","86","36"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-14","74","49"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-15","80","40"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-16","61","48"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-17","58","45"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-18","52","35"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-19","43","32"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-20","47","30"
"USW00094948","FAIRMONT MUNICIPAL AIRPORT, MN US","2024-04-21","61","31"
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-01",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-02",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-03",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-04",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-05",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-06",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-07",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-08",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-09",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-10",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-11",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-12",,
"US1MNMT0006","FAIRMONT 0.7 E, MN US","2024-01-13",,
