"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-01","26","52","12"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-02","30","49","16"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-03","26","44","13"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-04","28","33","17"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-05","26","41","16"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-06","30","41","13"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-07","20","33","10"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-08","23","29","10"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-09","19","44","3"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-10","34","41","16"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-11","18","23","-8"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-12","-1","5","-13"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-13","-10","-6","-23"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-14","-10","4","-17"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-15","-3","-3","-21"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-16","-11","19","-26"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-17","13","28","2"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-18","19","37","2"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-19","5","20","-6"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-20","10","28","3"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-21","21","48","6"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-22","32","51","18"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-23","33","49","23"
"USW00024028","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","2024-01-24","33","50","24"
